andrej	slovensky Ondřej
andreji	oslovení Babiše
andreo	oslovení Andrei
andro	předpona mužský z řečtiny
android	umělá bytost
androidi	umělé bytosti
andré	druh červeného vína
andula	domácky Anna
andulin	domácky Annin
andulina	domácky Annina
andulini	domácky Annini
andulino	domácky Annino
anduliny	domácky Anniny
andulka	australský papoušek
andulko	??? Šafářová, píseň
anduly	ženy jménem Anna domácky
andulčin	domácky Annin
anděl	posel boží
anděla	česky Angela
andělin	patřící Anděle
andělo	oslovení Anděly
anděly	ženy jménem Anděla
andělé	poslové boží
aneb	čili
anekdory	vtipné příběhy
anekdota	vtipný příběh
aneta	cizí ženské jméno
anetin	patřící Anetě
anetina	vlastněná Anetou
anetini	vlastnění Anetou
anetino	patřící Anetě
anetiny	vlastněny Anetou
aneto	oslovení Anety
anetol	anýzový kafr
anety	ženy jménem Aneta
anexe	územní zábor
anežka	česká světice
anežko	oslovení Anežky
anežky	česká světice množ.
angara	přítok Jeniseje
angkor	??? Vat, známý chrám
anglicky	jazykem Velké Británie
anglie	část Británie
anglista	znalec jazyka Američanů
anglisti	znalci jazyka Američanů
angola	africký stát
angolan	obyvatel Angoly
angolani	obyvateli Angoly
angolané	obyvatelé Angoly
angolka	obyvatelka Angoly
angolky	obyvatelky Angoly
angora	králičí srst
angory	králičí srst množ.
angrešt	srstka ???
angrešty	srstka ???, množ.
anhinga	tropická přibuzná kormoránů
anhingy	tropické přibuzné kormoránů
anhydrit	minerál CaSO4
anhydrity	minerál CaSO4 množ.
ani	slučovací záporná spojka
anima	duše (z latiny)
animace	kreslení filmu
animato	oživěle (hudba)
anime	asijské komixy
animista	vyznavač animismu
animisti	vyznavači animismu
animisté	vyznavači animismu
animy	duše množ. (z latiny)
animální	živočišný
animálně	živočišně, pudovitě
animátor	kreslič filmu
animátoři	kresliči filmu
aninka	domácky Anna
aninky	domácky Anny
aninčin	vlastněný Annou domácky
aninčina	vlastněná Annou domácky
aninčini	vlastnění Annou domácky
aninčino	vlastněné Annou domácky
aninčiny	vlastněny Annou domácky
anion	nabitá částice
anička	domácky Anna
aniččin	domácky Annin
aniččina	domácky Annina
aniččini	domácky Annini
aniččino	domácky Annino
aniččiny	domácky Anniny
aniž	slučovací záporná spojka
anka	přípona ženských obyvatelských jmen
anketa	průzkum mínění veřejnosti
anketní	dotazníkový
ankety	průzkumy mínění veřejnosti
ankh	nilský kříž
ankhy	nilské kříže
anna	román, ??? Karenina
annin	vlastněný Annou
annina	vlastněná Annou
annini	vlastnění Annou
annino	vlastněno Annou
anniny	vlastněny Annou
anno	oslovení Kareninové
annona	strom plodící čerimoju
annony	stromy plodící čerimoju
ano	přitakání
anoa	indonézský tur
anobrž	ba dokonce zastr.
anolis	příbuzný leguána
anomálie	neobvyklý výsledek
anomální	neobvyklý, raritní
anonce	komerční zdělení
anova	analýza rozptylu
antal	Staškovo jméno
antalova	vlastněna Antalem
antalovi	vlastněni Antalem
antalovo	vlastněno Antalem
antalovy	vlastněny Antalem
antalové	jmenovci prozaika Staška
antalův	vlastněn Antalem
ante	předpona před (z latiny)
anti	předpona proti
antifón	řecký rétor
antigona	Oidipova dcera
antika	řecký a římský starověk
antimon	kov Sb
antivir	počítačová bezpečnostní aplikace
antiviry	počítačové bezpečnostní aplikace
anton	jméno Čechova
antoni	jmenovci literáta Čechova
antonov	výrobce největšího letadla
antonova	vlastněna Antalem
antonovi	vlastněni Antalem
antonovo	vlastněno Antalem
antonovy	vlastněny Antalem
antonové	jmenovci literáta Čechova
antonův	vlastněn Antalem
antrax	snět slezinná
antuka	tenisový povrch
antuky	tenisové povrchy
anténa	nezbytnost diváka TV
antény	nezbytnosti diváků TV
anubi	druh paviána
anuš	domácky Anna
anuška	domácky Anna
anx	předpona "úzkostný" (psychiatrie)
anxieta	úzkostný stav
anxiety	úzkostný stav množ.
anxio	předpona "úzkostný" (psychiatrie)
any	přípona jmen vesnic
anáhata	srdeční čakra
anály	každoroční záznamy
anúbis	bůh s psí hlavou
anýz	koření z bedrníku
anýzová	ochucená anýzem
anýzové	ochucené anýzem
anýzový	ochucený anýzem
anča	domácky Anna
anče	postava z Krkonošských pohádek
anči	domácky Anny
ančin	domácky Annin
ančina	domácky Annina
ančini	domácky Annini
ančino	domácky Annino
